vehicle,route_id,route_no
f93cfe975a23bc20a4f6ca15e35d9a6700250884661d16e871035aa810cf94b1,394,163V
6d49c759894e49a93be63a0aecd3f39df346bedc0123cb45e4fe08da6a0262b3,394,163V
6765d6f778a8387fd017521310970acc77500e917c404e6079345d452efd0134,394,163V
9b5a8833df14c435f7cde19ac299efd30fd7a8445d1598611781553b4dfe3a40,394,163V
062e1cfb770f1e10612fa021993a3bb3bff545eede72e176196972b3dccc0393,394,163V
eaf8b96df5e4092eb079aa994ee1ae6cf85306de8a4b47465e4c9ee85b61ac98,394,163V
208ebae4cee92538292a7753f8864d7d0143177f5a298dc36dbbfad05e05846a,394,163V
022bfe67554b3cb29c9367db81796159bcf2050233bd7edb0f325e00caab8ba4,128,88
f5c86ef66245865fce5fec98bebbbf86be83b2842c5903f41ff00fd0dc744944,128,88
56f3d4e7c68faee352bce4d876bd4338b74bbfe13753a607fd36e6985b9f3e14,128,88
53747fbb3a70c9f4e256c4d5d30ce412b5a6b822c45cef6b0615969fb6b2e058,128,88
43fe69ea06ed7d781092ce836defb12b5ebb9a7ce8b572191cabc69c834f009f,128,88
985cf925ab6377aab38271fe84dc0c8600d15654ad48aef2c3c67d5eceace005,128,88
49f92a6d683cd895226dc18072b68ed815032b3fc942e9d2983b7c6feefed64d,128,88
c6d18803f24d7520c75d4b656ff482cfa43ea97c5d29fa774ec84d93f108cc69,128,88
191220cb01356bde34858bd85f7a84f8dbb662d118e783f5f5ace4472f9446aa,128,88
a4f1b228a806be3d399def6e993370fd33cd8fd1239dba72ae402166c8e5586d,128,88
4ee2fa1a274994da93f76953e4c5cca4219ee79311c276261f72a3f3b15a6b4c,128,88
b3e8d47d36e2203500f5138a23e3330f142a246e3b7094053fd4f0503822dffe,128,88
f28860518e6ad035feab6fc11ef9797a4e874c7b51453ae1159f4f6a3ed0c56d,128,88
19e8e3459e8b164436d26e58b7da43ba33d50b809d584ccb817da172f53912ac,128,88
f489271342e61f2704b39c545b107ee675984e53d0f76ab3a5da9cd1e35a0831,128,88
2214a060b8f2bfd425b22987cdb134d2eebaa213bc15bc4015b81afc43ddcc6e,128,88
e74cef5f1134a1e047ac0a493b95097fce34679b6164fbe77ed9b63bab3f9c90,128,88
