event_hour,distance_km,co2_kg_est
17,282184.91100490926,233651.21741808395
16,281638.812460783,222861.0159105716
18,256037.61605493535,214496.63944762351
5,270873.0204688371,208567.76853981538
15,261347.09204439464,203114.72441011376
6,265576.821191416,202321.56812203862
8,262055.0366870203,197176.35494994005
7,258556.10982741654,194588.65811449342
11,253459.26168306402,190706.60714697128
10,251221.14742937402,189044.0490710023
19,241343.05586085693,187380.10503798706
9,245196.1721642587,184556.55905205975
12,243370.64336347507,183075.98215995173
13,224676.93648499053,168996.78459833693
14,220701.446409761,166040.43312588468
20,159774.40341420897,128933.16776202244
4,118244.0443593875,91298.85628728439
21,71484.73944006351,53807.525915823666
22,25870.362794453646,19476.77158095802
3,16846.615000373255,12654.348156280093
23,4235.050963388018,3199.0282829263692
0,3524.135079262178,2771.2548634783384
1,3660.8734163023323,2757.3127915932705
2,2805.7410942409674,2228.6679171184223
