bus_id,distance_km,fuel_liter_est,co2_kg_est,dominant_route_id,dominant_route_name
bf78beaa473f6dc9f2c33f4bb4b677da21c8e09bb108988ef3be45c7c2392985,18576.900635835358,6370.4771780339,17072.87883713085,151,Ben xe Mien Tay - Ben xe An Suong
1c9782b588454d4eab0190e70fcfbccc2f6e5b8021e03b3e4d387683c332ebf3,22531.47456994957,6309.036379585878,16908.217497290152,32,Ben xe Mien Tay - Ben xe Nga tu Ga
de71f00d732205849f38babd3a0d5a00ca93b8843765996b24f2f03690d32b63,18231.076445343395,6281.420904696151,16834.208024585685,151,Ben xe Mien Tay - Ben xe An Suong
93d3ffc1e12588926931d5faf261ea377906d78ea13365802abe8317086b5aef,19885.23217872409,5969.772510042746,15998.990326914558,167V,Dai hoc Nong Lam - Khu che xuat Linh Trung
199e046d2f4657115b402d9ca09006e93ac008abf11452b8f96553f2aac7b1af,18318.254221679243,5931.028682070188,15895.156867948102,151,Ben xe Mien Tay - Ben xe An Suong
da1749a41dafd5e78869e83553b882d580b4bf2d1b3dda07061c4911e9efc03e,18547.451463204903,5921.855409697373,15870.572497988962,151,Ben xe Mien Tay - Ben xe An Suong
1973be93eb3e815b931f7e2538d541d285337c52eb6042fa2412693c7cf9c2d5,18431.683061365,5873.354257182201,15740.589409248298,151,Ben xe Mien Tay - Ben xe An Suong
92b827b166b0f851f83ebfeb6d775e827a5ee7542e27e19a4a1c427516ecef93,19485.632093600245,5801.272986208069,15547.411603037626,151,Ben xe Mien Tay - Ben xe An Suong
ea860eaa43d371ce6ae97faa03e70440a3342a92a9f680e91b5d5dd4004d8a15,18463.061224683508,5799.0531429113835,15541.462423002507,151,Ben xe Mien Tay - Ben xe An Suong
f58ef338cd63bc2c7b90613aa6174c7498c56bf9096272a823f95912b0dda826,19491.223100563908,5665.947968157895,15184.740554663156,151,Ben xe Mien Tay - Ben xe An Suong
